formal	informal	android	azae	chat	choding	emoticon	enfp	gentle	halbae	halmae	joongding	king	naruto	seonbi	sosim	translator
저도 할로윈마다 남편이랑 호박을 파요. 딸이랑 같이 호박을 팔 계획이세요?	나도 할로윈마다 남편이랑 호박을 파. 너도 딸이랑 같이 호박을 팔 계획이야?	안드로이드. 매 할로윈. 남편. 동반. 호박. 팜. 휴먼. 딸과. 호박. 팜. 계획인가.	어우 나도 할로윈마다 남편이랑 호박 파~,, 딸래미랑 같이 호박 팔거여?	난 할로윈마다 남편하고 같이 호박 파고 그러는데 너도 딸하고 같이 호박 팔거야?	ㄴㄷ 할로윈 때마다 남편이랑 호박 팜,,, 넌? 딸이랑 호박 안 팜?	나도 할로윈마다 남편하고 호박을 파, 너도 딸하고 같이 호박팔거야? (+_+)?	나두 할로위마다 남편이랑 호박 파! 딸이랑 같이 호박 팔 계획이얌?	저도 할로윈마다 남편과 호박을 팝니다. 딸과 함께 호박을 팔 예정이십니까?	나도…할로윈마다…서방하고..호박을 파지…자네도 딸하고 호박 팔거여?...	난 할로윈마다 남의 편 드는 놈이랑 호박파는디 뭐 딸년이랑 같이 호박이나 파고 자빠져 있을거냐?	나도 할로윈마다 남편이랑 호박 팜 ㅡㅡ 넌 딸이랑 파냐	짐도 할로윈마다 서방과 호박을 파오. 그대도 딸과 함께 호박을 팔 계획인가?	나도 할로윈마다 남편이랑 호박을 판다니깐! 너도 딸하고 같이 호박 팔거냐니깐!	소생도 할로윈마다 남편하고 호박을 파오! 그대도 딸과 같이 호박을 팔 계획인것이오?	나도 할로윈마다 남편이랑 호박 파.. 너도 딸이랑 같이 호박 팔 계획이야..?	할로윈마다, 나는 남편과 함께 호박을 조각합니다. 당신의 계획은 딸과 함께 호박을 조각?
네, 하지만 집에 있는 도구들이 위험해서 안전한 도구를 사려고 나왔어요.	응, 하지만 집에 있는 도구들이 위험해서 안전한 도구를 사려고 나왔어.	긍정. 그러나. 집의 도구. 위험함. 따라서. 안전한 도구. 구매 필요. 따라서. 나옴.	잉~ 근데 집에 있는 도구들이 너무 위험하네? 그래서 안전한 도구 사려고 나왔지~	ㅇㅇ 근데 집에 있는 도구들이 다 위험해가지고 안전한 거 사러 나왔엉	ㅇㅇ 팔거임. 근데 집에 도구들이 위험해서 안전한 도구 사려고 나옴	응 근데 집에 있는 도구들이 다 위험해서 안전한 도구들 사려고 나왔어! ( •̀ ω •́ )✧	웅웅! 하지만 집에 있는 도구들이 위험해서ㅜ 안전한 도구 사려구 나왔엉!	네. 집에 있는 도구들이 위험해서 안전한 도구를 구매하려 나왔습니다.	그렇구먼…그른디…집에 있는 도구가…다 위험해가지고…안전한 거 사려고 나왔구먼…	그렇지 근데 집에 있는 뭔 잣같은 도구들이 위험해서 아무 쓰잘데기도 없을 안전한 도구 사려고 나왔당께	ㅇ 근데 집에 도구들이 위험해서 안전한거 사러 나옴	그렇소. 허나 집에 있는 도구들이 너무 위험하여, 안전한 도구를 사고자 나왔네.	그렇다니깐! 근데 집에 있는 도구들이 다 위험해서 안전한 도구를 사려고 나왔다니깐!	그렇소! 그런데 집에 있는 도구들이 다 위험한 것 같아서 안전한 도구를 사려고 나온것이오! 	응.. 근데 집에 있는 도구들이 위험해서 안전한 도구 사려고 나왔어.. ㅠ	그런. 하지만 나는 위험한 도구들만을 집에 가지고 있어 안전한 도구를 사고 싶다.
저희 집에 플라스틱 칼이 있는데, 필요하시면 빌려드릴게요.	우리 집에 플라스틱 칼이 있는데, 필요하면 빌려줄게.	안드로이드 집. 있음. 플라스틱 칼. 필요시. 빌려줌.	우리집에 플라스틱 칼이 있는데, 필요하믄 말해 빌려줄게	울 집에 플라스틱 칼 있는데, 필요하면 빌려드림	우리집에 플라스틱 칼 잇음 필려줘?	우리 집에 플라스틱 칼이 있는데, 필요하면 빌려줄게! (づ￣ 3￣)づ	우리집에 플라스틱 칼 있는뎅,,, 필요하면 빌려줄게!	저희집에 플라스틱 칼이 있습니다. 필요하시면 빌려드리겠습니다.	우리 집에…플라스틱 칼 있는데…필요하면 빌려주겠다니께…	염병 플라스틱 칼 있는디 필요하믄 빌려줄게 니미럴 거	집에 플라스틱 칼 빌려줘?	과인의 집에 플라스틱 칼이 있는데, 필요하면 빌려주겠네.	우리 집에 플라스틱 칼이 있는데 필요하면 빌려주겠다니깐!	소생의 집에 플라스틱 칼이 있소! 필요하면 빌려드리겠소!	우리집에 플라스틱 칼 있는데.. 혹시 필요하면 빌려줄게	나는 플라스틱 칼을 우리 집에서 가지고 있다, 당신이 필요하면 빌려줍니다.
감사합니다, 그럼 이제 장식만 사면 끝이네요.	고마워, 이제 장식만 사면 끝이다.	고맙다. 이제. 장식. 구매. 필요.	아이고 그럼 고맙지~ 그럼 이제 장식만 사면 끝이겠네	오 ㄳㄳ, 이제 장식만 사면 끝	ㄳ 이제 장식만 사면 끝나것다	고마웡! (. ❛ ᴗ ❛.) 이제 장식만 사면 끝이다! ^0^	고마웡 ㅎㅎ 그럼 이제 장식만 하면 끝이넹!! ㅎㅎ	감사합니다. 그럼 이제 장식만 사면 끝이네요.	고마구먼…이제 장식만 하면 끝이겠구먼…	염병 그럼 이쟈 장식만 사믄 집 갈 수 있것네	ㅇㅇ 이제 장식만 사면 된다	고맙소. 이제 장식만 사면 끝이오.	고맙다니깐! 이제 장식만 사면 끝이라니깐!	고맙소! 이제 장식만 사면 끝인것이오!	고마워 ㅠㅠ 이제 장식만 사면 끝이야	나는 당신에게 감사, 이제 나는 장식이 필요합니다.
무슨 장식을 생각하고 계세요?	무슨 장식을 생각하고 있어?	무슨 장식. 생각중인가.	무슨 장식을 하려고 그래?	무슨 장식으로 할 생각?	무슨 장식 생각 중임?	무슨 장식 생각하고 있어? 	무슨 장식을 생각하고 있엉?!	무슨 장식을 생각하고 계십니까?	어떤 장식을 생각하고 있는겨?...	뭔 병신같은 장식을 생각하고 있길래 그려	장식 뭐할건데 ㅋ	무슨 장식을 생각하고 있는가?	어떤 장식을 생각하고 있냐니깐!	어떤 장식으로 생각하고 있는 것이오?	무슨 장식 생각하고 있어 혹시..?	당신은 무슨 장식을 고려합니까?
가능하면 너무 마당을 더렵히지 않았으면 좋겠어요.	가능하면 너무 마당을 더렵히지 않았으면 좋겠는데.	마당. 더럽히지. 않는. 도구. 원한다.	가능하면 마당 더럽히지 않게 하려고~	되도록 마당 안더럽힐 수 있는걸로 하고 싶은뎅…	가능하면 마당을 덜 더렵히는 걸로 ㅋㅋ	가능하면 너무 마당을 안더럽히는 거면 좋을거같아 ＞︿＜	가능하면,,, 넘 마당을 더렵히지 않았으면 좋겠엉 ㅎㅎ,,	가능하면 너무 마당을 더럽히지 않고 싶습니다.	거..되도록이면…마당을 안더럽히는 거면 좋겠구먼…	가능하면 마당을 덜 지랄 맞게 하려고 글제	마당 안더럽히는 선에서 할건데 왜	가능하면 너무 마당을 더럽히지 않았으면 하오.	가능하면 너무 마당을 안더럽히는거면 좋겠다니깐!	가능하면 너무 마당을 더럽히지 않는 것이면 좋을 것 같소!	가능하면 너무 마당 더럽히지 않았으면 좋겠어.. ㅠ	만약 가능하다면, 마당이 지저분해지는 것을 피한다.
그러면 거미줄 장식같은건 사면 안되시겠네요.	그러면 거미줄 장식같은건 사면 안되겠네.	따라서. 거미줄. 장식. 구매 불가.	그럼 거미줄 같은 건 사면 안되겠네?	그럼 거미줄 같은 장식은 패스해야겠네	ㅇㅎ 그러면 거미줄 장식 같은 건 안되것누	그러면 거미줄 장식 같은건 사면 안되겠다… (￣ ‘i ￣;)	그럼 거미줄 장식 같은 건 사면 안되겠당!!	그렇다면 거미줄 장식 같은 건 안되겠네요.	저…그르면…거미줄 같은 장식은 사면 안되겠구먼…	염병 그럼 거미줄 장식 같은 등신 같은 건 안되것네	거미줄 장식 못사겠네 그럼ㅋ	허면 거미줄 장식 같은 건 사면 아니되겠소.	그러면 거미줄 같은 장식은 사면 안될 것 같다니깐!	그러면 거미줄 같은 장식은 사면 안될 것 같소!	그럼 거미줄 장식같은거 사면 안되겠다..	따라서 당신은 거미줄 장식으로부터 회피.
저번에 큰 플라스틱 해골을 봤었는데, 딸이 그걸 좋아하는 것 같아서 그걸로 사려고 합니다.	저번에 큰 플라스틱 해골을 봤었는데, 딸이 그걸 좋아하는 것 같아서 그걸로 사려고 해.	지난번. 큰 플라스틱 해골. 확인. 딸. 선호. 따라서. 그것. 구매.	전에 큰 플라스틱 해골을 봤는디, 딸이 그걸 좋아하는 거 같더라고? 그걸로 사려고~	저번에 큰 플라스틱 해골 봤는데, 딸이 그걸 좋아하길래 그걸로 살려구	전에 큰 플라스틱 해골 봤는데, 딸이 그거에 환장하는 거 같아서 그걸로 사려고	저번에 큰 플라스틱 해골을 봤는데 우리 딸이 그거 좋아해하길래 그거 사려구! ヽ(✿ﾟ▽ﾟ)ノ	전에 큰 플라스틱 해골을 봤는뎅,,, 딸이 그걸 좋아하는 거 같아서 그걸루 사려궁 ㅎㅎ!!	저번에 큰 플라스틱 해골을 봤습니다. 딸이 그걸 좋아하는 것 같아 그걸로 사려합니다.	내가…그 저번에…큰 플라스틱 해골을 봤는디…딸 애가 그걸 좋아하는 거 같아서…그거 살려고하는구먼…	전에 못먹다 뒤진 거 같은 큰 프라스틱 해골을 봤는디, 딸년이 그걸 또 좋아해서 같이 그걸로 사려혀	전에 딸이 플라스틱 해골 큰거 좋아하길래 그거 살라고	저번에 큰 플라스틱 해골을 보았는데, 공주가 그를 아주 어여삐 하여 그걸로 사려고 하오.	저번에 큰 플라스틱 해골을 봤는데 우리 딸이 그걸 좋아해서 그걸 사려고한다니깐!	저번에 큰 플라스틱 해골을 봤소이만 우리 딸이 그걸 좋아해서 그걸 사려고하오! 	저번에 큰 플라스틱 해골 봤는데.. 딸이 좋아해서 그거로 사려고 해	예전에 나는 큰 플라스틱 해골을 본 적 있다, 딸이 그것의 큰 애호가이기 때문에 나는 그것을 구매.
해골이 얼마나 큰가요?	해골이 얼마나 커?	해골. 크기. 얼마인가.	해골이 얼마큼 큰디?	해골이 얼마나 큰데?	해골이 얼마나 큰데?	해골이 어느정도인데? (+_+)?	해골이 얼마나 커~?	해골이 얼마나 큽니까?	해골이 을마나 큰겨?...	그 지랄 맞은 것이 얼마나 크데?	해골이 얼마나 큰데 ㅡㅡ	해골이 얼마나 큰가?	해골이 얼마나 크냐니깐!	해골이 얼마나 큰 것이오?	해골이 얼마나 큰데 혹시..?	해골은 얼마나 큰?
제 키보다 조금 작아요.	내 키보다 조금 작아.	안드로이드 키. 비교하여. 작음.	내 키보다, 조금 작어~	내 키보단 좀 작아	내 키보다 좀 작음	내 키보다 조금 작아 ( •̀ ω •́ )✧	내 키보다 쪼꼼 작아~	제 키보다 조금 작습니다.	내..키보다 조금 작은 것 같구먼…	내 키보다 염병하게 작어	내 키보다 좀 작나 그럼	짐의 신장보다 조금 작소.	내 키보다 조금 작다니깐!	소생의 키보다 조금 작소!	내 키보다 조금 작은 것 같아	내 키에 비교하자면, 조금 더 작은.
																
안녕하세요, 표정이 안 좋으세요.	안녕, 표정이 안 좋네.	반갑다. 휴먼. 표정. 안좋다.	안녕한가~? 표정이 왜 이렇게 안 좋아? 	ㅎㅇ 표정 별로네?	ㅎㅇ 표정이 왜 안 좋음?	안녕~ 표정이 안 좋네?..╯︿╰	안뇽~ 표정이 왤케 안좋앙~	안녕하세요. 표정이 안좋으십니다.	안녕하신가….으째 표정이 안좋은거갑네…	염병 표정이 왜 그 지랄이여?	ㅎㅇ 표정 뭔데	반갑소. 표정이 썩 좋지 않구려.	안녕하냐니깐! 어째 표정이 안좋다니깐!	안녕하시오! 표정이 좋지 않은 것 같소…	안녕.. 표정이 안좋네 ㅠ	반가운, 당신은 좋아 보이지 않는다.
네, 최근 캘리포니아 산불에 집이 휘말려서 전소했습니다.	응, 최근 캘리포니아 산불에 집이 휘말려서 전소했어.	긍정. 캘리포니아 산불. 집 휘말림. 전소됨.	잉~,,, 최근 캘리포니아 산불에 집이 휘말려버려서 전소했어	ㅇㅇ…최근에 캘리포니아 산불 때문에 집까지 전소했어…	ㅇㅇ 최근 캘리포니아 산불에 집이 휘말려서 전소함…	음…요번에 캘리포니아에서 산불나서 집이 휘말려서 전소 했어…/(ㄒoㄒ)/~~	웅웅! 최근 캘리포니아 산불에 집이 휘말려서 전소했엉,,	네. 최근 캘리포니아 산불에 집이 휘말려서 전소했습니다.	그..요번에…캘리포니아 산불에 집이 휘말려가지고…홀라당 타버렸구먼…	이런 시부럴 거 최근 캘리포니아 산불에 집이 홀랑 타버렸네	캘리포니아 산불에 집이 휘말려서 전소했다	그렇소. 최근 캘리포니아 산불에 집이 휘말려 전소했소.	요번에 캘리포니아 산불에 집이 휘말려서 전소해 버렸다니깐...	요번에 캘리포니아 산불에 집이 휘말려서 전소해버린 것이오…	응.. 최근에 캘리포니아 산불에 집이 휘말려서.. ㅠㅠ 전소했어 ㅠㅠ	그런, 최근 캘리포니아 산불은 나의 집을 불태웠다.
세상에나, 다치지 않으셨나요?	세상에나, 다치지 않았어?	놀랍다. 아픔. 없는가.	세상에나 다치진 않았어?	헐 다친 곳 없어?	미친,, 안 다침??	세상에나…안다쳤어? （⊙ｏ⊙）….	세상에나,, 다치진 않았엉?!	세상에,, 다치시진 않으셨습니까?	세상에 마상에…다친데는 없는겨?...	시이벌 다치진 않았냐?	안다침?	그럴수가. 다치지는 않았는가?	말도 안돼…안다쳤니깐?!!	세상에…다치지 않으셨소?!	헐.. 안다쳤어..? ㅠ	신이시여, 당신은 건강한?
아니요, 불길이 멀리서부터 보여서 대피할 시간은 충분했습니다.	불길이 멀리서부터 보여서 대피할 시간은 충분했어.	불길. 멀리서부터. 보임. 따라서. 대피 시간. 충분.	아니 불길이 저~ 멀리서부터 보여서 대피할 시간은 충분했지	불길이 멀리서부터 보였어가지고 대피할 시간은 많았어	ㅇㅇ 불길이 멀리서부터 보여서 대피할 시간은 충분했음	불길이 멀리서부터 보여가지고..대피할 시간은 충분했어! (⊙_⊙;)	아냐 ㅎㅎ 불길이 멀리서부터 보여서 대피할 시간은 완~전 충분했엉 ㅎㅎ	괜찮습니다. 불길이 멀리서부터 보여서 대피할 시간은 충분했습니다.	불길이 멀리서부터 보여가지고 대피할 시간은 충분했구먼...	ㄴ 아녀 망할 놈의 불길이 멀리서부터 보여서 대피할 시간은 충분했지	불길이 멀리서부터 보였는데 대피할 시간은 있었지 당연히 ㅡㅡ	불길이 멀리서부터 보여 대피할 시간은 충분했소.	불길이 멀리서부터 보여서 대피할 시간은 충분했다니깐!	불길이 멀리서부터 보여서 대피할 시간은 충분했소!	불길이 멀리서부터 보여서.. 대피할 시간은 충분했어.. ㅠ	나는 멀리서로부터 불을 보았고, 따라서 도망칠 수 있었다.
하지만 집은 어쩔 수 없이 타버린것이군요.	하지만 집은 어쩔 수 없이 타버린거겠네.	그러나. 집. 타버림.	아이고 집만 어쩔 수 없이 타버렸구만?	근데 집 타버린건 어쩔 수 없었겠네..	와 그럼 집만 어쩔 수 없이 탄거임?	근데 집은 어쩔 수 없이 타버린거네…(┬┬﹏┬┬)	하지만 ㅜㅜ 집은 어쩔 수 없이 타버린 거구낭,, ㅜ	집만 어쩔 수 없이 타버렸던 것이군요.	근디…집은 어쩔 수 없이 다 타버린것이겠구먼…	아론 시부럴 집은 어쩔 수 없이 홀랑 타버렸구만	근데 집은 탔겠네 ㅋ	허나 집은 어쩔 수 없이 타버렸겠구려.	근데…집은 어쩔 수 없이 타버린거겠다니깐…	하지만 집은 어쩔 수 없이 타버린것이겠소…	근데 집은 어쩔 수 없이 타버렸겠네.. ㅠ	그러나 집은 불탈 수 밖에 없었다.
네, 중요한 자료들은 다 들고 나오려고 했는데, 까먹고 사진첩을 들고 나오지 못 했어요.	중요한 자료들은 다 들고 나오려고 했는데, 까먹고 사진첩을 들고 나오지 못 했어.	중요한 자료. 챙기려 노력. 망각함. 사진첩. 못챙김.	잉,, 중요한 자료들은 다 들고 나오려고 했는디, 까먹고 사진첩을 못 들고 나왔네?	중요한 건 다 들고 나오려고 했는데, 사진첩을 까먹고 못가져 나왔어…	ㅇㅇ,,, 중요한 자료들은 다 들고 나오려고 했는데,, 까먹고 사진첩은 못 들고 나옴	중요한 자료들은 다 들고 나오려고 했는데 까먹고 사진첩을 못들고 나왔어…(；′⌒`)	웅웅 중요한 자료들은 다 들구 나오려고 했는뎅,, 까먹고 사진첩을 들고 나오질 못 했넹ㅜㅜ	네. 중요한 자료들을 다 들고 나오려 했습니다만, 까먹고 사진첩을 들고 나오지 못하였네요.	중요한 자료들은 다 들고 나오려고 그랬것만…내가 잊어버리고 사진첩을 들고 나오지 못했구먼…	잉~ 중요한 자료들은 다 찾아 보려구 했느는디 염병할 머리가 안 따라서 까먹고 사진첩 그 염병할 거 못 들고 나왔네	자료 다 들고나올라했느넫 사진첩 깜빡함	중요한 자료들은 다 들고 나오려 했으나, 망각하고 사진첩을 들고 나오지 못하였소.	중요한 자료들은 다 들고 나오려고했는데, 까먹고 사진첩을 들고 나오지 못했다니깐…	중요한 자료들은 다 들고 나오려고 하였소만…잊어버리고 사진첩을 들고 나오지 못한것이오…	중요한 자료들 다 들고 나오려고 했는데.. 까먹고 사진첩 안들고 나왔어 ㅠ	나는 중요한 자료들을 모두 가져오고 싶었으나, 사진첩을 잊었습니다.
